file,baseline_class,baseline_distance,baseline_target,true_class,true_target
T89_3.png,1,0.0,facebook,1,mew
T89_1.png,1,0.0,facebook,0,mew
T89_2.png,1,0.0,facebook,1,mew
T89_0.png,0,98.0,benign,1,mew
T89_4.png,1,8.0,chase,1,mew
T29_1.png,1,8.0,chase,1,bnz
T29_0.png,1,0.0,facebook,1,bnz
T29_2.png,1,6.0,chase,0,bnz
T29_3.png,1,6.0,chase,1,bnz
T29_4.png,1,6.0,chase,1,bnz
T113_0.png,1,0.0,sharp,1,sharp
T113_4.png,0,96.0,benign,1,sharp
T113_3.png,1,0.0,sharp,0,sharp
T113_1.png,1,0.0,sharp,1,sharp
T113_2.png,1,0.0,sharp,1,sharp
T37_0.png,1,0.0,linkedin,1,cathay_bank
T37_4.png,0,98.0,benign,1,cathay_bank
T37_2.png,1,0.0,linkedin,1,cathay_bank
T37_3.png,1,0.0,linkedin,0,cathay_bank
T37_1.png,1,0.0,linkedin,1,cathay_bank
T32_25.png,1,2.0,bt,1,bt
T32_10.png,1,8.0,paypal,1,bt
T32_23.png,1,2.0,facebook,1,bt
T32_4.png,1,4.0,dhl,1,bt
T32_6.png,1,4.0,facebook,0,bt
T46_0.png,1,2.0,paypal,1,crate_and_barrel
T46_2.png,0,40.0,benign,1,crate_and_barrel
T46_3.png,1,2.0,paypal,1,crate_and_barrel
T46_4.png,1,2.0,paypal,1,crate_and_barrel
T46_1.png,1,0.0,wells_fargo,1,crate_and_barrel
T101_0.png,1,2.0,paypal,1,ocn
T101_3.png,0,56.0,benign,1,ocn
T101_2.png,1,0.0,wells_fargo,1,ocn
T101_4.png,0,86.0,benign,1,ocn
T101_1.png,1,2.0,wells_fargo,1,ocn
T39_29.jpg,1,2.0,wells_fargo,1,chase
T39_2.jpg,0,76.0,benign,1,chase
T39_52.jpg,0,94.0,benign,1,chase
T39_11.jpg,1,4.0,wells_fargo,1,chase
T39_16.jpg,0,92.0,benign,1,chase
T39_24.png,0,94.0,benign,1,chase
T39_59.png,0,98.0,benign,1,chase
T39_55.png,1,4.0,facebook,1,chase
T39_76.png,0,94.0,benign,0,chase
T39_25.png,0,100.0,benign,1,chase
T39_65.png,0,92.0,benign,1,chase
T39_13.png,0,98.0,benign,1,chase
T39_31.png,0,80.0,benign,1,chase
T39_23.png,0,70.0,benign,1,chase
T39_30.png,0,98.0,benign,1,chase
T150_21.png,0,90.0,benign,1,ms_outlook
T150_35.png,1,2.0,bradesco,1,ms_outlook
T150_25.png,0,94.0,benign,1,ms_outlook
T150_5.png,0,100.0,benign,1,ms_outlook
T150_2.png,0,42.0,benign,1,ms_outlook
T150_0.png,0,84.0,benign,1,ms_outlook
T150_16.png,0,90.0,benign,1,ms_outlook
T150_19.png,0,84.0,benign,1,ms_outlook
T150_8.png,0,56.0,benign,1,ms_outlook
T150_22.png,0,80.0,benign,1,ms_outlook
T111_1.png,0,76.0,benign,1,rbc
T111_4.png,0,58.0,benign,1,rbc
T111_0.png,1,0.0,made_in_china,1,rbc
T111_2.png,1,0.0,mweb,1,rbc
T111_3.png,1,0.0,mweb,1,rbc
T129_4.png,0,94.0,benign,1,taxact
T129_0.png,1,0.0,barclays,1,taxact
T129_3.png,1,0.0,barclays,1,taxact
T129_1.png,0,94.0,benign,1,taxact
T129_2.png,1,0.0,barclays,0,taxact
T68_2.png,0,100.0,benign,1,hfe
T68_0.png,0,100.0,benign,1,hfe
T68_4.png,0,100.0,benign,1,hfe
T68_1.png,0,96.0,benign,1,hfe
T68_3.png,0,94.0,benign,1,hfe
