lowercase_brand,proper_brand,matched
microsoft,microsoft,True
att,AT&T,True
facebook,Facebook,True
amazon,Amazon,True
bnp_paribas,BNP Paribas,True
ms_onedrive,ms_onedrive,False
ms_office,ms_office,False
bradesco,bradesco,True
ebay,eBay,True
grupo_bancolombia,grupo_bancolombia,True
bt,bt,False
ms_bing,ms_bing,True
aruba,aruba,False
nab,nab,False
orange,Orange,True
boa,boa,False
dhl,dhl,False
wells_fargo,Wells Fargo & Company,True
chase,chase,False
netflix,Netflix,True
paypal,PayPal,True
twitter,"Twitter, Inc.",True
google,google,True
bcp,bcp,True
yahoo,Yahoo!,True
alibaba,Alibaba,True
itau,itau,False
ms_outlook,ms_outlook,False
caixa_bank,caixa_bank,False
linkedin,LinkedIn Corporation,True
runescape,RuneScape,True
absa,absa,False
suntrust,suntrust,False
irs,IRS,True
dropbox,Dropbox,True
adidas,adidas,True
capital_one,capital_one,True
usaa,usaa,False
google_drive,google_drive,False
hsbc,HSBC,True
mdpd,mdpd,False
typeform,typeform,True
allegro,Allegro,True
american_express,American Express,True
la_banque_postale,La Banque postale,True
impots_gov,impots_gov,False
instagram,Instagram,True
bankia,Bankia,True
dkb,dkb,True
lloyds_bank,lloyds_bank,False
nedbank,nedbank,False
steam,Steam,True
barclaycard,barclaycard,True
apple,apple,True
la_poste,La Poste,True
strato,strato,True
adobe,Adobe,True
cibc,cibc,False
gov_uk,gov_uk,True
barclays,barclays,True
ourtime,ourtime,False
bahia,bahia,True
walmart,walmart,True
sparkasse,sparkasse,False
