name,target,width,height,depth,extension,path,size
apple (31).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (31).png,147701
apple (27).png,apple,917,1251,3,.png,phishIRIS_DL_Dataset/train/apple/apple (27).png,74314
apple (6).png,apple,1010,1885,3,.png,phishIRIS_DL_Dataset/train/apple/apple (6).png,968220
apple (46).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (46).png,33431
apple (11).png,apple,1012,1885,3,.png,phishIRIS_DL_Dataset/train/apple/apple (11).png,1236704
apple (10).png,apple,1009,1888,3,.png,phishIRIS_DL_Dataset/train/apple/apple (10).png,1476013
apple (47).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (47).png,126817
apple (7).png,apple,1009,1882,3,.png,phishIRIS_DL_Dataset/train/apple/apple (7).png,41533
apple (26).png,apple,855,1251,3,.png,phishIRIS_DL_Dataset/train/apple/apple (26).png,255315
apple (30).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (30).png,76884
apple (40).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (40).png,98800
apple (17).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (17).png,62640
apple (37).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (37).png,46426
apple (21).png,apple,855,1251,3,.png,phishIRIS_DL_Dataset/train/apple/apple (21).png,1356454
apple (1).png,apple,931,1008,3,.png,phishIRIS_DL_Dataset/train/apple/apple (1).png,119395
apple (20).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (20).png,62640
apple (36).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (36).png,46426
apple (16).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (16).png,1191219
apple (41).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (41).png,98800
apple (39).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (39).png,151627
apple (15).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (15).png,216088
apple (42).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (42).png,190731
apple (2).png,apple,931,1008,3,.png,phishIRIS_DL_Dataset/train/apple/apple (2).png,597998
apple (23).png,apple,855,1251,3,.png,phishIRIS_DL_Dataset/train/apple/apple (23).png,326463
apple (35).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (35).png,45416
apple (19).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (19).png,13669
apple (18).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (18).png,62640
apple (34).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (34).png,46404
apple (22).png,apple,855,1251,3,.png,phishIRIS_DL_Dataset/train/apple/apple (22).png,601286
apple (3).png,apple,882,1008,3,.png,phishIRIS_DL_Dataset/train/apple/apple (3).png,104170
apple (43).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (43).png,207726
apple (14).png,apple,1011,1892,3,.png,phishIRIS_DL_Dataset/train/apple/apple (14).png,527379
apple (38).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (38).png,151627
apple (4).png,apple,1080,1920,3,.png,phishIRIS_DL_Dataset/train/apple/apple (4).png,42424
apple (25).png,apple,822,1268,3,.png,phishIRIS_DL_Dataset/train/apple/apple (25).png,43242
apple (33).png,apple,960,1280,3,.png,phishIRIS_DL_Dataset/train/apple/apple (33).png,45416
