threshold,class_metrics,target_metrics
0,"{'f1_weighted': 0.5163756370483399, 'roc_auc': np.float64(0.5), 'mcc': 0.0, 'precision': 0.32667910447761195, 'recall': 0.5}","{'target_f1_micro': 0.6533582089552239, 'target_f1_macro': 0.005645291291872199, 'target_f1_weighted': 0.5163756370483399, 'target_mcc': 0.0, 'precision': 0.004666844349680171, 'recall': 0.007142857142857143, 'identification_rate': 0}"
10,"{'f1_weighted': 0.7245892174875521, 'roc_auc': np.float64(0.6822870400367866), 'mcc': np.float64(0.3856984343165915), 'precision': 0.7040233938247182, 'recall': 0.6822870400367866}","{'target_f1_micro': 0.5582089552238806, 'target_f1_macro': 0.026450548427114497, 'target_f1_weighted': 0.5323292565032882, 'target_mcc': np.float64(0.16693645421019632), 'precision': 0.028591939806225524, 'recall': 0.026308353649606743, 'identification_rate': np.float64(0.035196687370600416)}"
13,"{'f1_weighted': 0.7215790065167557, 'roc_auc': np.float64(0.6835294486496721), 'mcc': np.float64(0.3794628200304882), 'precision': 0.6961429525955096, 'recall': 0.6835294486496721}","{'target_f1_micro': 0.5432835820895522, 'target_f1_macro': 0.021664568847780258, 'target_f1_weighted': 0.5263613277808095, 'target_mcc': np.float64(0.16173340932221392), 'precision': 0.020952067020553456, 'recall': 0.023810575412098144, 'identification_rate': np.float64(0.03162055335968379)}"
14,"{'f1_weighted': 0.7215790065167557, 'roc_auc': np.float64(0.6835294486496721), 'mcc': np.float64(0.3794628200304882), 'precision': 0.6961429525955096, 'recall': 0.6835294486496721}","{'target_f1_micro': 0.5470149253731343, 'target_f1_macro': 0.03176149658955541, 'target_f1_weighted': 0.5302812033372777, 'target_mcc': np.float64(0.1686090116988148), 'precision': 0.03553880171443101, 'recall': 0.03371297115300321, 'identification_rate': np.float64(0.05138339920948617)}"
15,"{'f1_weighted': 0.7221572894003472, 'roc_auc': np.float64(0.6857705177235337), 'mcc': np.float64(0.3814089632342617), 'precision': 0.6957694889077194, 'recall': 0.6857705177235336}","{'target_f1_micro': 0.5406716417910448, 'target_f1_macro': 0.026879562489230235, 'target_f1_weighted': 0.5270965130932924, 'target_mcc': np.float64(0.16456409561989804), 'precision': 0.03232803250340477, 'recall': 0.02764929638662838, 'identification_rate': np.float64(0.03875968992248062)}"
16,"{'f1_weighted': 0.7221572894003472, 'roc_auc': np.float64(0.6857705177235337), 'mcc': np.float64(0.3814089632342617), 'precision': 0.6957694889077194, 'recall': 0.6857705177235336}","{'target_f1_micro': 0.5432835820895522, 'target_f1_macro': 0.030875374036989835, 'target_f1_weighted': 0.529652715258382, 'target_mcc': np.float64(0.16932754121426638), 'precision': 0.03113335051454985, 'recall': 0.03254769810568228, 'identification_rate': np.float64(0.05232558139534884)}"
17,"{'f1_weighted': 0.7241953706519448, 'roc_auc': np.float64(0.6896591152894948), 'mcc': np.float64(0.3868148079161269), 'precision': 0.6972297711538966, 'recall': 0.6896591152894948}","{'target_f1_micro': 0.5369402985074627, 'target_f1_macro': 0.022354284802048, 'target_f1_weighted': 0.5264469156562451, 'target_mcc': np.float64(0.16535191558731374), 'precision': 0.02596829593238965, 'recall': 0.02359484876686006, 'identification_rate': np.float64(0.03598484848484849)}"
18,"{'f1_weighted': 0.7241953706519448, 'roc_auc': np.float64(0.6896591152894948), 'mcc': np.float64(0.3868148079161269), 'precision': 0.6972297711538966, 'recall': 0.6896591152894948}","{'target_f1_micro': 0.5380597014925373, 'target_f1_macro': 0.025058873436462053, 'target_f1_weighted': 0.5276246032457124, 'target_mcc': np.float64(0.16737308679062746), 'precision': 0.02448250624171274, 'recall': 0.02711314145943116, 'identification_rate': np.float64(0.041666666666666664)}"
19,"{'f1_weighted': 0.7217504431169677, 'roc_auc': np.float64(0.6888577893979082), 'mcc': np.float64(0.3825486655537183), 'precision': 0.6937217972097998, 'recall': 0.6888577893979082}","{'target_f1_micro': 0.5343283582089552, 'target_f1_macro': 0.033023413453399895, 'target_f1_weighted': 0.5266402008807974, 'target_mcc': np.float64(0.16889193337986846), 'precision': 0.032344555009219025, 'recall': 0.036298677039538076, 'identification_rate': np.float64(0.052336448598130844)}"
20,"{'f1_weighted': 0.7217504431169677, 'roc_auc': np.float64(0.6888577893979082), 'mcc': np.float64(0.3825486655537183), 'precision': 0.6937217972097998, 'recall': 0.6888577893979082}","{'target_f1_micro': 0.5343283582089552, 'target_f1_macro': 0.03511456593990216, 'target_f1_weighted': 0.5267585096905425, 'target_mcc': np.float64(0.16889193337986846), 'precision': 0.03641959411577074, 'recall': 0.03803027877113981, 'identification_rate': np.float64(0.052336448598130844)}"
