true_target,true_class,pp_class,pp_target
benign,0,0,benign
benign,0,1,Navy Federal Credit Union
benign,0,1,Itau Unibanco S.A
benign,0,1,PayPal
benign,0,0,benign
benign,0,1,Yahoo!
benign,0,1,U.S. Bank
benign,0,1,bcp
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Giffgaff
benign,0,0,benign
benign,0,0,benign
benign,0,1,NatWest Personal Banking
benign,0,0,benign
benign,0,1,ADP
benign,0,1,Giffgaff
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,bcp
benign,0,1,National Bank of Canada
benign,0,1,bcp
benign,0,1,AOL
benign,0,1,Google
benign,0,0,benign
benign,0,1,Sparkasse Bank
benign,0,0,benign
benign,0,1,Google
benign,0,0,benign
benign,0,1,National Bank of Canada
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,AOL
benign,0,0,benign
benign,0,1,Microsoft
benign,0,1,Grupo Santander
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Frontier Communications
benign,0,1,Facebook
benign,0,0,benign
benign,0,1,Google
benign,0,0,benign
benign,0,1,bcp
benign,0,1,Vodafone
benign,0,0,benign
benign,0,0,benign
benign,0,1,PayPal
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,ADP
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Match
benign,0,0,benign
benign,0,0,benign
benign,0,1,Grupo Santander
benign,0,1,Google
benign,0,0,benign
benign,0,1,Giffgaff
benign,0,1,NatWest Personal Banking
benign,0,0,benign
benign,0,1,ASB Bank Limited
benign,0,0,benign
benign,0,1,Amazon
benign,0,1,Facebook
benign,0,0,benign
benign,0,1,Google
benign,0,0,benign
benign,0,1,Deutsche Bank AG
benign,0,0,benign
benign,0,1,Facebook
benign,0,1,Netflix
benign,0,0,benign
benign,0,1,Naver
benign,0,1,Itau Unibanco S.A
benign,0,1,Government of the United Kingdom
benign,0,0,benign
benign,0,1,AutoScout24
benign,0,0,benign
benign,0,1,Sparkasse Bank
benign,0,0,benign
benign,0,1,Sparkasse Bank
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Match
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Match
benign,0,1,LinkedIn Corporation
benign,0,1,Google
benign,0,1,Naver
benign,0,0,benign
benign,0,0,benign
benign,0,1,Google
benign,0,0,benign
benign,0,1,ASB Bank Limited
benign,0,1,Frontier Communications
benign,0,0,benign
benign,0,1,SNS Bank N.V
benign,0,1,National Bank of Canada
benign,0,1,Navy Federal Credit Union
benign,0,0,benign
benign,0,1,PayPal
benign,0,1,Fifth Third Bank
benign,0,0,benign
benign,0,1,Match
benign,0,1,Itau Unibanco S.A
benign,0,0,benign
benign,0,1,ASB Bank Limited
benign,0,1,National Bank of Canada
benign,0,1,AOL
benign,0,1,AutoScout24
benign,0,1,LinkedIn Corporation
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,GMX Mail
benign,0,1,Frontier Communications
benign,0,1,ADP
benign,0,0,benign
benign,0,1,Steam
benign,0,0,benign
benign,0,1,Naver
benign,0,0,benign
benign,0,1,Amazon
benign,0,1,U.S. Bank
benign,0,1,Deutsche Telekom
benign,0,0,benign
benign,0,1,Google
benign,0,1,Ooredoo QSC
benign,0,1,Google
benign,0,1,AOL
benign,0,1,SNS Bank N.V
benign,0,0,benign
benign,0,1,Google
benign,0,1,AutoScout24
benign,0,0,benign
benign,0,1,Giffgaff
benign,0,0,benign
benign,0,0,benign
benign,0,1,Frontier Communications
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Amazon
benign,0,1,AOL
benign,0,1,HSBC Bank
benign,0,0,benign
benign,0,1,Deutsche Telekom
benign,0,1,Steam
benign,0,1,Microsoft
benign,0,1,National Bank of Canada
benign,0,0,benign
benign,0,1,Facebook
benign,0,1,Sparkasse Bank
benign,0,0,benign
benign,0,1,LinkedIn Corporation
benign,0,1,Google
benign,0,1,U.S. Bank
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Yahoo!
benign,0,1,NatWest Personal Banking
benign,0,0,benign
benign,0,1,Google
benign,0,0,benign
benign,0,0,benign
benign,0,1,SNS Bank N.V
benign,0,0,benign
benign,0,0,benign
benign,0,1,SNS Bank N.V
benign,0,0,benign
benign,0,1,Sparkasse Bank
benign,0,1,Itau Unibanco S.A
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Google
benign,0,0,benign
benign,0,0,benign
benign,0,1,eBay
benign,0,0,benign
benign,0,1,Navy Federal Credit Union
benign,0,0,benign
benign,0,1,Google
benign,0,1,Itau Unibanco S.A
benign,0,1,Ooredoo QSC
benign,0,0,benign
benign,0,0,benign
benign,0,1,Google
benign,0,1,UBS AG
benign,0,1,NatWest Personal Banking
benign,0,1,ASB Bank Limited
benign,0,0,benign
benign,0,0,benign
benign,0,1,NatWest Personal Banking
benign,0,0,benign
benign,0,0,benign
benign,0,0,benign
benign,0,1,Google
benign,0,1,bcp
benign,0,0,benign
benign,0,1,Naver
benign,0,0,benign
benign,0,1,Government of the United Kingdom
benign,0,1,UBS AG
benign,0,0,benign
benign,0,1,Government of the United Kingdom
benign,0,1,Google
benign,0,1,Match
benign,0,0,benign
benign,0,0,benign
benign,0,1,Google
benign,0,0,benign
benign,0,1,eBay
benign,0,1,UBS AG
benign,0,0,benign
benign,0,1,Government of the United Kingdom
benign,0,1,ASB Bank Limited
benign,0,1,PayPal
benign,0,0,benign
benign,0,1,Giffgaff
benign,0,1,Fifth Third Bank
benign,0,1,Naver
benign,0,1,Ooredoo QSC
benign,0,1,Yahoo!
benign,0,0,benign
benign,0,1,Grupo Santander
benign,0,1,Google
benign,0,0,benign
