threshold,f1_weighted,mcc,target_mcc
0,0.5159024291634379,0.0,0.0
10,0.6596954921051107,0.23961002152993968,0.13007506394813445
20,0.6647014841853541,0.250466798213328,0.1311216255503238
30,0.6563933670694484,0.23558463750655154,0.12784523598584474
40,0.6561424665791167,0.2416379995750965,0.13009815319012247
50,0.6409649326100966,0.21843249127758743,0.1256929850947402
60,0.6225331482709545,0.19962874027555874,0.11535578954965284
70,0.5837315478206144,0.15370164518774693,0.09610461082914369
80,0.5350168111835504,0.10454123990384478,0.07395090046564314
90,0.4530786417164679,0.0873754615319297,0.06508071296602996
