threshold,class_metrics,target_metrics
0,"{'f1_weighted': 0.01692545009384415, 'roc_auc': np.float64(0.5), 'mcc': 0.0, 'precision': 0.04816084788029925, 'recall': 0.5}","{'target_f1_micro': 0.0963216957605985, 'target_f1_macro': 0.0030827709022342607, 'target_f1_weighted': 0.01692545009384415, 'target_mcc': 0.0, 'precision': 0.0016898543115894474, 'recall': 0.017543859649122806, 'identification_rate': 0}"
1,"{'f1_weighted': 0.81452526798427, 'roc_auc': np.float64(0.6525400456133182), 'mcc': np.float64(0.217477195127257), 'precision': 0.5775146129828638, 'recall': 0.6525400456133184}","{'target_f1_micro': 0.16458852867830423, 'target_f1_macro': 0.0281492489473729, 'target_f1_weighted': 0.16220233573333265, 'target_mcc': np.float64(0.06778703353916755), 'precision': 0.03831629555694596, 'recall': 0.029435021682774645, 'identification_rate': np.float64(0.15971039182282795)}"
2,"{'f1_weighted': 0.81452526798427, 'roc_auc': np.float64(0.6525400456133182), 'mcc': np.float64(0.217477195127257), 'precision': 0.5775146129828638, 'recall': 0.6525400456133184}","{'target_f1_micro': 0.15928927680798005, 'target_f1_macro': 0.020064513441186087, 'target_f1_weighted': 0.15657779791174728, 'target_mcc': np.float64(0.06172067363196055), 'precision': 0.022906811301250645, 'recall': 0.02236963470006156, 'identification_rate': np.float64(0.1524701873935264)}"
3,"{'f1_weighted': 0.8193864140276041, 'roc_auc': np.float64(0.5912551030318456), 'mcc': np.float64(0.14175294864647991), 'precision': 0.555048698051876, 'recall': 0.5912551030318456}","{'target_f1_micro': 0.15430174563591023, 'target_f1_macro': 0.025358034463843798, 'target_f1_weighted': 0.1595436472163852, 'target_mcc': np.float64(0.05594433944755897), 'precision': 0.03212131819589378, 'recall': 0.02661693803231218, 'identification_rate': np.float64(0.15963978714695046)}"
4,"{'f1_weighted': 0.8193864140276041, 'roc_auc': np.float64(0.5912551030318456), 'mcc': np.float64(0.14175294864647991), 'precision': 0.555048698051876, 'recall': 0.5912551030318456}","{'target_f1_micro': 0.15430174563591023, 'target_f1_macro': 0.024838032755803752, 'target_f1_weighted': 0.15936303007352765, 'target_mcc': np.float64(0.05594433944755897), 'precision': 0.028155847180239328, 'recall': 0.02724941136948935, 'identification_rate': np.float64(0.15963978714695046)}"
5,"{'f1_weighted': 0.826475192998015, 'roc_auc': np.float64(0.5851431863012689), 'mcc': np.float64(0.1381705907703066), 'precision': 0.5560559011917405, 'recall': 0.5851431863012689}","{'target_f1_micro': 0.15928927680798005, 'target_f1_macro': 0.026646662433870403, 'target_f1_weighted': 0.16498662448772408, 'target_mcc': np.float64(0.06088691817754011), 'precision': 0.03289626826175676, 'recall': 0.028183297444297564, 'identification_rate': np.float64(0.16653290529695025)}"
6,"{'f1_weighted': 0.826475192998015, 'roc_auc': np.float64(0.5851431863012689), 'mcc': np.float64(0.1381705907703066), 'precision': 0.5560559011917405, 'recall': 0.5851431863012689}","{'target_f1_micro': 0.15087281795511223, 'target_f1_macro': 0.024265914645653548, 'target_f1_weighted': 0.15670027907230782, 'target_mcc': np.float64(0.05132700891367674), 'precision': 0.03140625562007326, 'recall': 0.024559096210097393, 'identification_rate': np.float64(0.15569823434991975)}"
7,"{'f1_weighted': 0.8294452427929768, 'roc_auc': np.float64(0.581019456547342), 'mcc': np.float64(0.13460340561069453), 'precision': 0.5559065611338995, 'recall': 0.581019456547342}","{'target_f1_micro': 0.15336658354114713, 'target_f1_macro': 0.028242641640313416, 'target_f1_weighted': 0.16075183649148606, 'target_mcc': np.float64(0.054005789925323115), 'precision': 0.034806379144506794, 'recall': 0.029100604579072084, 'identification_rate': np.float64(0.15944333996023857)}"
8,"{'f1_weighted': 0.8294452427929768, 'roc_auc': np.float64(0.581019456547342), 'mcc': np.float64(0.13460340561069453), 'precision': 0.5559065611338995, 'recall': 0.581019456547342}","{'target_f1_micro': 0.15492518703241895, 'target_f1_macro': 0.026091643933295206, 'target_f1_weighted': 0.16266432142442708, 'target_mcc': np.float64(0.05577493465344693), 'precision': 0.03284731800215587, 'recall': 0.026822495194439324, 'identification_rate': np.float64(0.1614314115308151)}"
9,"{'f1_weighted': 0.8313256104079523, 'roc_auc': np.float64(0.5760333604601966), 'mcc': np.float64(0.12895218476129755), 'precision': 0.554675559037723, 'recall': 0.5760333604601966}","{'target_f1_micro': 0.1493142144638404, 'target_f1_macro': 0.02391435225289209, 'target_f1_weighted': 0.15746089470330474, 'target_mcc': np.float64(0.049631222792093754), 'precision': 0.027881753625097472, 'recall': 0.024452556701259506, 'identification_rate': np.float64(0.1551519936833794)}"
10,"{'f1_weighted': 0.8313256104079523, 'roc_auc': np.float64(0.5760333604601966), 'mcc': np.float64(0.12895218476129755), 'precision': 0.554675559037723, 'recall': 0.5760333604601966}","{'target_f1_micro': 0.15399002493765587, 'target_f1_macro': 0.026068573091505683, 'target_f1_weighted': 0.16286552280732255, 'target_mcc': np.float64(0.05493500153339231), 'precision': 0.03231996345731899, 'recall': 0.026161907940772416, 'identification_rate': np.float64(0.1610738255033557)}"
11,"{'f1_weighted': 0.8350563259584313, 'roc_auc': np.float64(0.5778647028157238), 'mcc': np.float64(0.13472475375313686), 'precision': 0.5582765958691172, 'recall': 0.5778647028157238}","{'target_f1_micro': 0.14806733167082295, 'target_f1_macro': 0.0268428448641361, 'target_f1_weighted': 0.1556082807533122, 'target_mcc': np.float64(0.0481219972024133), 'precision': 0.03315149598194905, 'recall': 0.027052336282247562, 'identification_rate': np.float64(0.15276145710928318)}"
12,"{'f1_weighted': 0.8350563259584313, 'roc_auc': np.float64(0.5778647028157238), 'mcc': np.float64(0.13472475375313686), 'precision': 0.5582765958691172, 'recall': 0.5778647028157238}","{'target_f1_micro': 0.14806733167082295, 'target_f1_macro': 0.02656025184444896, 'target_f1_weighted': 0.1562800992251122, 'target_mcc': np.float64(0.0481219972024133), 'precision': 0.03218357080919346, 'recall': 0.027528929682099332, 'identification_rate': np.float64(0.15276145710928318)}"
13,"{'f1_weighted': 0.8372034763211125, 'roc_auc': np.float64(0.5757699061499837), 'mcc': np.float64(0.13363274848340045), 'precision': 0.55892085781352, 'recall': 0.5757699061499837}","{'target_f1_micro': 0.14526184538653367, 'target_f1_macro': 0.019478655249919454, 'target_f1_weighted': 0.1531804579929263, 'target_mcc': np.float64(0.04496029046930065), 'precision': 0.020386940107222445, 'recall': 0.02154864394989282, 'identification_rate': np.float64(0.14947450369793694)}"
14,"{'f1_weighted': 0.8372034763211125, 'roc_auc': np.float64(0.5757699061499837), 'mcc': np.float64(0.13363274848340045), 'precision': 0.55892085781352, 'recall': 0.5757699061499837}","{'target_f1_micro': 0.14713216957605985, 'target_f1_macro': 0.023362245846371706, 'target_f1_weighted': 0.15515474360589185, 'target_mcc': np.float64(0.04708014249278007), 'precision': 0.0282158181757088, 'recall': 0.023712968178935836, 'identification_rate': np.float64(0.1518100428182172)}"
15,"{'f1_weighted': 0.8373281409277766, 'roc_auc': np.float64(0.5694040239296889), 'mcc': np.float64(0.12436332294482841), 'precision': 0.5557108767553163, 'recall': 0.5694040239296889}","{'target_f1_micro': 0.14276807980049874, 'target_f1_macro': 0.023389650326927757, 'target_f1_weighted': 0.152392896776232, 'target_mcc': np.float64(0.04216145807280971), 'precision': 0.029121089214146606, 'recall': 0.023375889493961046, 'identification_rate': np.float64(0.14773167894532765)}"
16,"{'f1_weighted': 0.8373281409277766, 'roc_auc': np.float64(0.5694040239296889), 'mcc': np.float64(0.12436332294482841), 'precision': 0.5557108767553163, 'recall': 0.5694040239296889}","{'target_f1_micro': 0.15056109725685785, 'target_f1_macro': 0.02346307582023787, 'target_f1_weighted': 0.1592298285885401, 'target_mcc': np.float64(0.05099191291427576), 'precision': 0.02701258114779135, 'recall': 0.025183495495957844, 'identification_rate': np.float64(0.15742535866614968)}"
