file,baseline_class,baseline_distance,baseline_target,true_class,true_target
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/nedbank+sample2/shot.png,0,92.0,benign,1,nedbank
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/ms_bing+sample1-aug2/shot.png,1,0.0,yahoo,1,ms_bing
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/chase+sample16/shot.png,0,42.0,benign,1,chase
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/chase+sample16/predict.png,1,2.0,dhl,1,dhl
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/walmart+sample1-aug1/shot.png,1,2.0,test_rite,1,walmart
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/otrs+sample0-aug4/shot.png,0,92.0,benign,1,otrs
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/boa+sample17/shot.png,0,98.0,benign,1,boa
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/boa+sample17/predict.png,0,98.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/microsoft+sample221/shot.png,0,92.0,benign,1,microsoft
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/microsoft+sample221/predict.png,0,90.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/ziggo+sample0-aug1/shot.png,0,52.0,benign,1,ziggo
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/ziggo+sample0-aug1/predict.png,0,54.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/boa+sample49/shot.png,0,82.0,benign,1,boa
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/boa+sample49/predict.png,0,80.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/itau+sample22/shot.png,0,98.0,benign,1,itau
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/itau+sample22/predict.png,0,100.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/dhl+sample7/shot.png,0,100.0,benign,1,dhl
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/dhl+sample7/predict.png,0,98.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/cathay_bank+sample0-aug1/shot.png,0,68.0,benign,1,cathay_bank
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/cathay_bank+sample0-aug1/predict.png,0,96.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/otrs+sample0-aug5/shot.png,0,100.0,benign,1,otrs
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/facebook+sample73/shot.png,1,28.0,ms_onedrive,1,facebook
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/zoominfo+sample0-aug2/shot.png,0,78.0,benign,1,zoominfo
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/boa+sample53/shot.png,1,4.0,anadolubank,1,boa
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/boa+sample53/predict.png,1,0.0,fsnb,1,fsnb
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/erste+sample0-aug4/shot.png,1,0.0,zoominfo,1,erste
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/nordea+sample0-aug2/shot.png,1,2.0,fsnb,1,nordea
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/paypal+sample132/shot.png,1,22.0,bmo,1,paypal
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/paypal+sample132/predict.png,1,20.0,ebay,1,ebay
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/netsons+sample0-aug3/shot.png,1,18.0,ebay,1,netsons
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/netsons+sample0-aug3/predict.png,1,16.0,bmo,1,bmo
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/nedbank+sample7/shot.png,1,8.0,bt,1,nedbank
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/bahia+sample1-aug3/shot.png,0,94.0,benign,1,bahia
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/bahia+sample1-aug3/predict.png,0,94.0,benign,0,benign
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/bnp_paribas+sample1-aug1/shot.png,1,2.0,netsons,1,bnp_paribas
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/bnp_paribas+sample1-aug1/predict.png,1,10.0,netsons,1,netsons
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/yahoo+sample55/shot.png,1,16.0,sicil_shop,1,yahoo
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/yahoo+sample55/predict.png,1,6.0,sicil_shop,1,sicil_shop
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/barclays+sample2-aug1/shot.png,1,0.0,ms_onedrive,1,barclays
/home/phish-target-recognition/data_splits/visualphish/phishpedia/data/test-no-overlap/phishing/barclays+sample2-aug1/predict.png,0,90.0,benign,0,benign
