name,target,width,height,depth,extension,path,size,date
000.PNG,microsoft,1907,940,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/000.PNG,2159915,
001.PNG,microsoft,1891,930,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/001.PNG,2150210,
002.PNG,att,1886,934,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/002.PNG,36321,
003.PNG,facebook,1901,933,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/003.PNG,42582,
004.PNG,microsoft,1892,931,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/004.PNG,1412762,
005.PNG,microsoft,1891,929,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/005.PNG,1410667,
006.PNG,microsoft,1909,933,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/006.PNG,2304902,
007.PNG,amazon,1905,935,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/007.PNG,36087,
008.PNG,bnp_paribas,1903,935,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/008.PNG,127904,
009.PNG,ms_onedrive,1915,935,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/009.PNG,2028552,
010.PNG,amazon,1893,929,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/010.PNG,992801,
011.PNG,ms_onedrive,1912,936,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/011.PNG,2022982,
012.PNG,ms_office,1893,922,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/012.PNG,610299,
013.PNG,microsoft,1913,928,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/013.PNG,2172628,
014.PNG,bradesco,1920,931,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/014.PNG,836043,
015.PNG,amazon,1888,933,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/015.PNG,163414,
016.PNG,ebay,1913,935,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/016.PNG,161955,
017.PNG,grupo_bancolombia,1890,937,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/017.PNG,487459,
018.PNG,amazon,1899,933,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/018.PNG,2104241,
019.PNG,amazon,1896,940,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/019.PNG,1148781,
020.PNG,amazon,1889,940,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/020.PNG,2118742,
021.PNG,bt,1892,877,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/021.PNG,97482,
022.PNG,ms_bing,1907,932,3,.PNG,VisualPhish/VisualPhish/newly_crawled_phishing/022.PNG,3524371,
023.jpg,aruba,1024,812,3,.jpg,VisualPhish/VisualPhish/newly_crawled_phishing/023.jpg,52523,
024.jpg,aruba,1024,812,3,.jpg,VisualPhish/VisualPhish/newly_crawled_phishing/024.jpg,52523,
