file,baseline_class,baseline_distance,baseline_target,true_class,true_target
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/tesla+sample3360/shot.png,1,16.0,allegro,1,tesla
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/biedronka+sample6947/predict.png,1,0.0,allegro,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/biedronka+sample6947/shot.png,1,0.0,allegro,1,biedronka
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/facebook+sample1484/shot.png,0,44.0,benign,1,facebook
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/vinted+sample2264/shot.png,1,10.0,olx,1,vinted
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample2792/shot.png,1,6.0,dhl,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/dhl+sample5102/predict.png,1,6.0,dhl,1,dhl
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/dhl+sample5102/shot.png,1,0.0,olx,1,dhl
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample3907/shot.png,0,40.0,benign,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample225/shot.png,0,36.0,benign,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/facebook+sample1923/shot.png,1,0.0,allegro,1,facebook
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample3450/shot.png,0,46.0,benign,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample1849/shot.png,1,0.0,allegro,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample3324/shot.png,0,46.0,benign,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample6043/shot.png,1,0.0,netflix,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample1422/shot.png,1,26.0,olx,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/vinted+sample2304/shot.png,0,90.0,benign,1,vinted
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample4703/shot.png,0,46.0,benign,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/pgnig+sample2746/shot.png,0,28.0,benign,1,pgnig
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample3478/shot.png,1,22.0,olx,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample3757/shot.png,1,24.0,allegro,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample3156/shot.png,0,88.0,benign,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample2450/shot.png,0,28.0,benign,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/steam+sample6316/shot.png,0,50.0,benign,1,steam
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample2513/shot.png,1,0.0,facebook,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/home.pl+sample1901/shot.png,1,0.0,olx,1,home.pl
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/facebook+sample3409/shot.png,1,0.0,allegro,1,facebook
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/poczta_polska+sample5942/shot.png,1,0.0,olx,1,poczta_polska
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/facebook+sample7077/shot.png,1,0.0,olx,1,facebook
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample1109/shot.png,1,22.0,olx,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample5005/shot.png,0,32.0,benign,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/facebook+sample5650/shot.png,1,0.0,allegro,1,facebook
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample4754/shot.png,1,0.0,allegro,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/booking+sample4451/shot.png,1,22.0,benign,1,booking
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample1916/shot.png,0,32.0,benign,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample4124/shot.png,1,18.0,olx,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/tesla+sample3769/shot.png,1,0.0,olx,1,tesla
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample7097/shot.png,1,0.0,olx,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample7176/shot.png,0,50.0,benign,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample475/shot.png,1,0.0,usps,1,allegro
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/olx+sample3006/shot.png,0,46.0,benign,1,olx
/home/phish/Dokumenty/test/final/phish-target-recognition/data_splits/cert/phishpedia/data/test/phishing/allegro+sample6030/shot.png,0,40.0,benign,1,allegro
